"provinsi","kode_prov","Kategori","kode_kategori","Output","Persentase Permintaan Antara Intraregional","Persentase Permintaan Antara Interregional","Persentase Permintaan Akhir Intraregional","Persentase Permintaan Akhir Interregional","Angka Pengganda Output Intraregional","Angka Pengganda Output Interreginal","Angka Pengganda Pendapatan Intraregional","Angka Pengganda Pendapatan interregional"
"Kalimantan Tengah","62","Pertanian, Kehutanan, dan Perikanan","A","39775875.31099","80.383779783166","19.616220216834","84.050996482954","15.949003517046","1.2080880583347","0.21524416889201","0.35048521906358","0.04482770360902"
"Kalimantan Tengah","62","Pertambangan dan Penggalian ","B","17516371.894222","30.314328718183","69.685671281817","8.3191364791541","91.680863520846","1.3580790294303","0.38741111644695","0.11765328659648","0.0717332344607"
"Kalimantan Tengah","62","Industri Pengolahan","C","63652977.397186","43.743480135406","56.256519864594","33.49278424543","66.50721575457","1.6847061123261","0.3722595191736","0.21533793914536","0.083462601392385"
"Kalimantan Tengah","62","Pengadaan Listrik dan Gas","D","3168590.1164194","99.996715300518","0.0032846994824356","99.989617759551","0.010382240449054","2.0415114155746","1.3545029639073","0.055914044510893","0.19964508983903"
"Kalimantan Tengah","62","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","E","556843.66186509","77.377558738799","22.622441261201","66.373818014","33.626181986","1.3300793034681","0.45866366543834","0.11656800061993","0.083713983894928"
"Kalimantan Tengah","62","Konstruksi","F","23700670.018992","99.860227571683","0.13977242831741","99.88153144478","0.11846855522025","1.4449686375636","0.63640069527472","0.27453016359863","0.12161370185787"
"Kalimantan Tengah","62","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","G","18809534.52239","71.045412089545","28.954587910455","62.153217721238","37.846782278762","1.2311020402731","0.37779971581693","0.31792864494537","0.077691538256315"
"Kalimantan Tengah","62","Transportasi dan Pergudangan ","H","23727604.723949","79.932994604963","20.067005395037","64.64521078251","35.35478921749","1.3858599747824","0.64260195021989","0.20461687289297","0.1189648633406"
"Kalimantan Tengah","62","Penyediaan Akomodasi dan Makan Minum","I","6087640.9791326","77.911740106336","22.088259893664","84.384818578294","15.615181421706","1.7171525442868","0.34041687891077","0.33245965456968","0.07896679781464"
"Kalimantan Tengah","62","Informasi dan Komunikasi","J","3196258.4499721","99.45201990529","0.54798009471021","98.74757265019","1.2524273498102","1.2654496214197","0.35389173854471","0.22051297683296","0.067512128677589"
"Kalimantan Tengah","62","Jasa Keuangan dan Asuransi","K","3863581.8043742","29.290929881145","70.709070118855","35.769325185323","64.230674814677","1.127895912367","0.2291329244119","0.39558187741051","0.054707592272679"
"Kalimantan Tengah","62","Real Estate","L","5363592.5439643","99.175843998615","0.82415600138505","99.040556194279","0.95944380572082","1.2292795670211","0.27326627060478","0.097062171527384","0.054443112386982"
"Kalimantan Tengah","62","Jasa Perusahaan","MN","1464049.014575","98.526139318084","1.4738606819158","83.039957886514","16.960042113486","1.2810135157388","0.42727581978234","0.35942064801332","0.08562151541528"
"Kalimantan Tengah","62","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","O","10299092.859512","90.893756175009","9.1062438249909","94.77266737238","5.2273326276203","1.3879618817779","0.405061282082","0.3975583606678","0.075090861705885"
"Kalimantan Tengah","62","Jasa Pendidikan","P","5758770.9702948","92.01655049783","7.9834495021704","98.599320697214","1.4006793027862","1.2279973857011","0.28920688462266","0.58991210905337","0.054561762733803"
"Kalimantan Tengah","62","Jasa Kesehatan dan Kegiatan Sosial","Q","1617750.5375956","91.050776949925","8.9492230500752","96.597844478452","3.4021555215476","1.4507941459273","0.35828064805993","0.47228557956471","0.071284566506791"
"Kalimantan Tengah","62","Jasa Lainnya","RSTU","2873151.4819036","90.808443679584","9.1915563204163","92.560589904835","7.4394100951652","1.3104404953212","0.37229837949445","0.34401227635554","0.070916386205831"
"Kalimantan Selatan","63","Pertanian, Kehutanan, dan Perikanan","A","31730387.801226","95.045696108804","4.9543038911956","94.758329995917","5.241670004083","1.2204274964265","0.12086471798986","0.36085492116994","0.021623323795822"
"Kalimantan Selatan","63","Pertambangan dan Penggalian ","B","70145452.883687","49.651191897304","50.348808102696","1.0914659698981","98.908534030102","1.3303038893766","0.24054538439456","0.061825758320016","0.044533361749168"
"Kalimantan Selatan","63","Industri Pengolahan","C","49393108.231835","84.21130015641","15.78869984359","44.677313522978","55.322686477022","1.6304008309471","0.30971544923153","0.20069627609683","0.060434737334207"
